BOROUGH,BUILDING_CLASS,RESIDENTIAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,TAX_CLASS,SALE_PRICE,AGE,STORIES
MANHATTAN,TWO-FAMILY HOME,2,1686,3416,Class 1,2450000,11.715.834,2
MANHATTAN,TWO-FAMILY HOME,2,1799,3600,Class 1,1670000,118.182.998,2
MANHATTAN,TWO-FAMILY HOME,2,1799,3600,Class 1,1310000,117.952.861,2
MANHATTAN,TWO-FAMILY HOME,2,1749,2625,Class 1,850000,107.306.286,2
MANHATTAN,TWO-FAMILY HOME,2,1599,3200,Class 1,2000000,118.010.395,2
MANHATTAN,TWO-FAMILY HOME,2,1472,3400,Class 1,1550000,115.802.176,2
MANHATTAN,TWO-FAMILY HOME,2,1499,3000,Class 1,1625000,118.377.519,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,2852,Class 1,1980000,116.782.998,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,2646,Class 1,2390000,107.681.628,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,3400,Class 1,1925000,10.755.834,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1699,3400,Class 1,1700000,107.117.245,2
MANHATTAN,TWO-FAMILY HOME,2,1682,3000,Class 1,424797,118.235.053,2
MANHATTAN,OVER-THREE FAMILY HOME,3,2018,3680,Class 1,1533000,116.656.971,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1968,3420,Class 1,2100000,117.782.998,2
MANHATTAN,TWO-FAMILY HOME,2,1582,3108,Class 1,2036500,118.128.203,2
MANHATTAN,TWO-FAMILY HOME,2,1499,2340,Class 1,1150000,117.804.916,2
MANHATTAN,TWO-FAMILY HOME,2,1649,2796,Class 1,1700000,116.550.121,2
MANHATTAN,TWO-FAMILY HOME,2,1249,2640,Class 1,2420000,116.706.286,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1665,3334,Class 1,2400000,107.029.573,2
MANHATTAN,TWO-FAMILY HOME,2,1599,2500,Class 1,1700000,117.528.203,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1799,3300,Class 1,2350000,107.103.546,2
MANHATTAN,OVER-THREE FAMILY HOME,3,1704,2592,Class 1,816425,116.678.888,2
MANHATTAN,TWO-FAMILY HOME,2,1600,2304,Class 1,940000,116.089.847,1
MANHATTAN,TWO-FAMILY HOME,2,1667,2544,Class 1,911460,11.826.519,2
BRONX,TWO-FAMILY HOME,2,2265,2394,Class 1,530000,22.103.539,1
BRONX,TWO-FAMILY HOME,2,1556,1494,Class 1,305000,118.646.012,1
BRONX,TWO-FAMILY HOME,2,1800,1944,Class 1,500000,107.103.546,1
BRONX,TWO-FAMILY HOME,2,1429,1872,Class 1,250000,106.950.121,1
BRONX,TWO-FAMILY HOME,2,3732,2901,Class 1,494000,16.755.594,1
BRONX,TWO-FAMILY HOME,2,1258,2340,Class 1,240000,115.947.382,2
BRONX,TWO-FAMILY HOME,2,1712,1580,Class 1,200000,116.599.436,1
BRONX,TWO-FAMILY HOME,2,1420,2805,Class 1,290000,115.996.697,2
BRONX,TWO-FAMILY HOME,2,1420,2805,Class 1,165000,115.747.382,2
BRONX,OVER-THREE FAMILY HOME,3,1440,2880,Class 1,365000,118.454.231,2
BRONX,OVER-THREE FAMILY HOME,3,1784,2302,Class 1,545000,1.279.395,1
BRONX,OVER-THREE FAMILY HOME,3,1650,1344,Class 1,321065,107.309.025,1
BRONX,OVER-THREE FAMILY HOME,3,1650,3316,Class 1,600000,12.243.265,2
BRONX,OVER-THREE FAMILY HOME,3,1250,2730,Class 1,460000,14.046.005,2
BRONX,TWO-FAMILY HOME,2,1900,2125,Class 1,340000,72.311.758,1
BRONX,TWO-FAMILY HOME,2,2691,2842,Class 1,334000,14.204.909,1
BRONX,TWO-FAMILY HOME,2,2375,1810,Class 1,435000,96.782.991,1
BRONX,TWO-FAMILY HOME,2,2709,2400,Class 1,585000,118.656.971,1
BRONX,TWO-FAMILY HOME,2,2709,2400,Class 1,260000,118.185.738,1
BRONX,TWO-FAMILY HOME,2,2850,2110,Class 1,588000,66.972.032,1
BRONX,TWO-FAMILY HOME,2,932,2031,Class 1,470000,10.481.621,2
BRONX,TWO-FAMILY HOME,2,2850,3300,Class 1,613600,107.467.929,1
BRONX,TWO-FAMILY HOME,2,2500,2187,Class 1,372000,62.533.676,1
BRONX,TWO-FAMILY HOME,2,2000,2499,Class 1,344760,66.807.648,1
BRONX,TWO-FAMILY HOME,2,2658,1976,Class 1,535000,87.013.128,1
BRONX,TWO-FAMILY HOME,2,2056,2195,Class 1,215000,87.276.142,1
BRONX,TWO-FAMILY HOME,2,2500,2160,Class 1,384000,97.541.895,1
BRONX,TWO-FAMILY HOME,2,2500,2160,Class 1,431379,96.859.703,1
BRONX,TWO-FAMILY HOME,2,2642,1722,Class 1,529000,67.607.648,1
BRONX,TWO-FAMILY HOME,2,2642,1722,Class 1,276000,67.204.909,1
BRONX,TWO-FAMILY HOME,2,2000,2385,Class 1,285000,67.536.416,1
BRONX,TWO-FAMILY HOME,2,2300,1762,Class 1,620000,87.656.963,1
BRONX,TWO-FAMILY HOME,2,1800,1260,Class 1,523000,67.424.087,1
BRONX,TWO-FAMILY HOME,2,4250,3073,Class 1,545700,87.341.895,1
BRONX,TWO-FAMILY HOME,2,1920,2585,Class 1,515000,4.709.532,1
BRONX,TWO-FAMILY HOME,2,2500,2280,Class 1,490000,62.361.073,1
BRONX,TWO-FAMILY HOME,2,2500,2040,Class 1,615000,9.229.566,1
BRONX,TWO-FAMILY HOME,2,2500,2040,Class 1,599000,8.982.991,1
BRONX,TWO-FAMILY HOME,2,2522,1568,Class 1,371600,67.037.785,1
BRONX,TWO-FAMILY HOME,2,2424,2058,Class 1,575000,10.2871,1
BRONX,TWO-FAMILY HOME,2,2375,1520,Class 1,466000,107.382.998,1
BRONX,TWO-FAMILY HOME,2,2375,1558,Class 1,338000,96.821.347,1
BRONX,TWO-FAMILY HOME,2,1853,1596,Class 1,377000,56.763.813,1
BRONX,TWO-FAMILY HOME,2,1895,1800,Class 1,218500,67.596.689,1
BRONX,TWO-FAMILY HOME,2,1900,1800,Class 1,480000,66.856.963,1
BRONX,TWO-FAMILY HOME,2,2477,1584,Class 1,599000,6.239.121,1
BRONX,TWO-FAMILY HOME,2,2700,2880,Class 1,520000,57.533.676,1
BRONX,TWO-FAMILY HOME,2,3420,3327,Class 1,620000,57.330.936,1
BRONX,TWO-FAMILY HOME,2,1895,2310,Class 1,610000,5.749.532,1
BRONX,TWO-FAMILY HOME,2,1895,2310,Class 1,349830,57.004.909,1
BRONX,TWO-FAMILY HOME,2,2518,2497,Class 1,457000,13.136.416,1
BRONX,TWO-FAMILY HOME,2,1900,1665,Class 1,489853,13.580.251,1
BRONX,TWO-FAMILY HOME,2,1900,2500,Class 1,302000,56.977.511,1
BRONX,TWO-FAMILY HOME,2,1900,1800,Class 1,480000,67.382.991,1
BRONX,TWO-FAMILY HOME,2,2375,1867,Class 1,480000,12.878.881,1
BRONX,TWO-FAMILY HOME,2,1868,2351,Class 1,472500,56.835.046,1
BRONX,TWO-FAMILY HOME,2,2375,2040,Class 1,605000,1.358.847,1
BRONX,TWO-FAMILY HOME,2,2516,3201,Class 1,560000,11.374.772,1
BRONX,TWO-FAMILY HOME,2,2912,3105,Class 1,550000,11.073.402,1
BRONX,TWO-FAMILY HOME,2,2500,2080,Class 1,150000,92.322.717,1
BRONX,TWO-FAMILY HOME,2,3840,2245,Class 1,382500,42.456.963,1
BRONX,TWO-FAMILY HOME,2,2020,1051,Class 1,599000,91.728.196,1
BRONX,TWO-FAMILY HOME,2,2425,2800,Class 1,565000,57.196.689,1
BRONX,TWO-FAMILY HOME,2,1936,1894,Class 1,304500,66.952.854,1
BRONX,TWO-FAMILY HOME,2,1643,1792,Class 1,150000,67.246.005,1
BRONX,TWO-FAMILY HOME,2,2088,2200,Class 1,475000,19.862.443,1
BRONX,TWO-FAMILY HOME,2,2986,2800,Class 1,240000,52.706.279,1
BRONX,TWO-FAMILY HOME,2,2640,1890,Class 1,575000,53.010.388,1
BRONX,TWO-FAMILY HOME,2,1995,2714,Class 1,540000,52.470.662,1
BRONX,TWO-FAMILY HOME,2,2208,1296,Class 1,365000,77.350.114,1
BRONX,TWO-FAMILY HOME,2,1800,1701,Class 1,450000,60.448.744,1
BRONX,TWO-FAMILY HOME,2,1581,2166,Class 1,355000,21.078.881,1
BRONX,TWO-FAMILY HOME,2,3166,2166,Class 1,382785,21.202.169,1
BRONX,TWO-FAMILY HOME,2,3263,2270,Class 1,226726,18.662.443,1
BRONX,TWO-FAMILY HOME,2,2590,2270,Class 1,540000,1.869.532,1
BRONX,TWO-FAMILY HOME,2,1950,2166,Class 1,533667,21.248.744,1
BRONX,TWO-FAMILY HOME,2,1195,1683,Class 1,425000,5.648.984,1
BRONX,TWO-FAMILY HOME,2,3300,1649,Class 1,470000,92.281.621,1
BRONX,TWO-FAMILY HOME,2,2500,1488,Class 1,275000,91.919.977,1
BRONX,TWO-FAMILY HOME,2,4200,1374,Class 1,427000,91.936.416,1
BRONX,TWO-FAMILY HOME,2,2026,1672,Class 1,308000,58.333.676,1
BRONX,TWO-FAMILY HOME,2,1710,1672,Class 1,410000,58.032.306,1
BRONX,TWO-FAMILY HOME,2,1710,1697,Class 1,408000,5.849.532,1
BRONX,TWO-FAMILY HOME,2,5000,2000,Class 1,535000,87.541.895,1
BRONX,TWO-FAMILY HOME,2,2625,1775,Class 1,459000,65.826.826,1
BRONX,TWO-FAMILY HOME,2,2758,3105,Class 1,232750,59.843.265,1
BRONX,TWO-FAMILY HOME,2,2323,1734,Class 1,499000,52.410.388,1
BRONX,TWO-FAMILY HOME,2,1877,1831,Class 1,425000,62.243.265,1
BRONX,TWO-FAMILY HOME,2,2185,2940,Class 1,599000,62.418.607,1
BRONX,TWO-FAMILY HOME,2,2185,2940,Class 1,375000,61.898.059,1
BRONX,TWO-FAMILY HOME,2,2500,2520,Class 1,546000,77.347.374,1
BRONX,TWO-FAMILY HOME,2,2500,2112,Class 1,328000,92.246.005,1
BRONX,TWO-FAMILY HOME,2,2050,2050,Class 1,575000,10.325.457,1
BRONX,TWO-FAMILY HOME,2,1700,2280,Class 1,560000,52.067.922,1
BRONX,TWO-FAMILY HOME,2,1868,1900,Class 1,300000,61.730.936,1
BRONX,TWO-FAMILY HOME,2,1916,2000,Class 1,209000,61.955.594,1
BRONX,TWO-FAMILY HOME,2,1710,1651,Class 1,453000,62.221.347,1
BRONX,TWO-FAMILY HOME,2,1710,1651,Class 1,270000,6.178.847,1
BRONX,TWO-FAMILY HOME,2,1924,2700,Class 1,550000,67.098.059,1
BRONX,TWO-FAMILY HOME,2,2375,2700,Class 1,408000,67.144.635,1
BRONX,TWO-FAMILY HOME,2,2000,1800,Class 1,450000,58.026.826,1
BRONX,TWO-FAMILY HOME,2,5000,2368,Class 1,475000,46.750.114,1
BRONX,OVER-THREE FAMILY HOME,3,2624,2760,Class 1,310000,9.347.374,1
BRONX,OVER-THREE FAMILY HOME,3,3284,3219,Class 1,608940,116.300.806,1
BRONX,OVER-THREE FAMILY HOME,3,2375,2628,Class 1,447000,118.032.313,1
BRONX,OVER-THREE FAMILY HOME,3,3225,2968,Class 1,540000,4.179.395,1
BRONX,OVER-THREE FAMILY HOME,3,2500,4125,Class 1,451800,13.270.662,2
BRONX,OVER-THREE FAMILY HOME,3,2685,2961,Class 1,360000,87.054.224,1
BRONX,OVER-THREE FAMILY HOME,3,2771,2950,Class 1,605000,44.056.963,1
BRONX,OVER-THREE FAMILY HOME,3,2000,2920,Class 1,300000,55.665.183,1
BRONX,OVER-THREE FAMILY HOME,3,2375,3232,Class 1,555000,56.919.977,1
BRONX,OVER-THREE FAMILY HOME,3,2090,3016,Class 1,380000,4.738.847,1
BRONX,OVER-THREE FAMILY HOME,3,2981,3300,Class 1,415000,1.688.984,1
BRONX,TWO-FAMILY HOME,2,3027,2100,Class 1,280000,87.046.005,1
BRONX,TWO-FAMILY HOME,2,1682,2369,Class 1,485000,97.306.279,1
BRONX,TWO-FAMILY HOME,2,2696,3287,Class 1,180000,10.715.834,1
BRONX,TWO-FAMILY HOME,2,2692,2060,Class 1,245000,107.309.025,1
BRONX,TWO-FAMILY HOME,2,2499,2827,Class 1,360000,116.580.258,1
BRONX,TWO-FAMILY HOME,2,3125,3503,Class 1,580000,116.237.792,1
BRONX,TWO-FAMILY HOME,2,1650,1040,Class 1,470000,116.007.656,1
BRONX,TWO-FAMILY HOME,2,2000,2583,Class 1,585000,118.448.751,1
BRONX,TWO-FAMILY HOME,2,1835,2500,Class 1,400000,116.317.245,1
BRONX,TWO-FAMILY HOME,2,2440,2028,Class 1,592000,106.815.875,1
BRONX,TWO-FAMILY HOME,2,2500,2728,Class 1,200000,107.144.642,1
BRONX,TWO-FAMILY HOME,2,2060,1630,Class 1,125000,118.319.984,1
BRONX,TWO-FAMILY HOME,2,2500,4040,Class 1,575000,97.615.868,2
BRONX,TWO-FAMILY HOME,2,2178,3288,Class 1,550000,97.328.196,2
BRONX,TWO-FAMILY HOME,2,2352,3500,Class 1,530000,97.459.703,1
BRONX,TWO-FAMILY HOME,2,3000,1801,Class 1,304200,102.024.087,1
BRONX,TWO-FAMILY HOME,2,2750,1536,Class 1,120000,102.552.854,1
BRONX,TWO-FAMILY HOME,2,2500,2136,Class 1,418500,116.240.532,1
BRONX,TWO-FAMILY HOME,2,2117,1296,Class 1,575000,116.695.327,1
BRONX,TWO-FAMILY HOME,2,1855,2092,Class 1,358000,116.300.806,1
BRONX,TWO-FAMILY HOME,2,2200,2264,Class 1,469775,107.037.792,1
BRONX,TWO-FAMILY HOME,2,1858,1364,Class 1,358000,116.676.149,1
BRONX,TWO-FAMILY HOME,2,2500,3000,Class 1,565000,11.636.108,1
BRONX,TWO-FAMILY HOME,2,2810,2484,Class 1,591000,102.218.607,1
BRONX,TWO-FAMILY HOME,2,2500,2400,Class 1,565000,101.846.005,1
BRONX,TWO-FAMILY HOME,2,2500,2532,Class 1,527000,96.843.265,1
BRONX,OVER-THREE FAMILY HOME,3,2835,2313,Class 1,480000,92.303.539,1
BRONX,OVER-THREE FAMILY HOME,3,2569,3780,Class 1,500000,115.911.765,1
BRONX,OVER-THREE FAMILY HOME,3,3000,2988,Class 1,525000,118.446.012,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3300,Class 1,450000,101.314.498,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,125000,8.679.395,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,320000,870.871,1
BRONX,OVER-THREE FAMILY HOME,3,1650,2400,Class 1,365653,870.871,1
BRONX,OVER-THREE FAMILY HOME,3,2167,2772,Class 1,600000,8.748.984,1
BRONX,TWO-FAMILY HOME,2,2250,2156,Class 1,510000,10.766.245,1
BRONX,TWO-FAMILY HOME,2,2250,2140,Class 1,590000,107.451.491,1
BRONX,TWO-FAMILY HOME,2,2250,2140,Class 1,450000,107.095.327,1
BRONX,TWO-FAMILY HOME,2,1900,3000,Class 1,319000,116.624.094,2
BRONX,TWO-FAMILY HOME,2,2437,3432,Class 1,550000,116.552.861,1
BRONX,TWO-FAMILY HOME,2,1238,1548,Class 1,300000,92.435.046,1
BRONX,TWO-FAMILY HOME,2,2500,2209,Class 1,525000,92.161.073,1
BRONX,TWO-FAMILY HOME,2,1320,1120,Class 1,420000,87.646.005,1
BRONX,TWO-FAMILY HOME,2,1717,1404,Class 1,435000,96.944.635,1
BRONX,TWO-FAMILY HOME,2,2375,2380,Class 1,440000,92.322.717,1
BRONX,TWO-FAMILY HOME,2,2000,1628,Class 1,540000,107.155.601,1
BRONX,TWO-FAMILY HOME,2,2000,2310,Class 1,300000,107.037.792,1
BRONX,OVER-THREE FAMILY HOME,3,1810,2364,Class 1,180000,116.700.806,1
BRONX,OVER-THREE FAMILY HOME,3,1491,3077,Class 1,500000,12.451.484,2
BRONX,OVER-THREE FAMILY HOME,3,1466,2209,Class 1,615000,12.078.881,2
BRONX,OVER-THREE FAMILY HOME,3,2154,2321,Class 1,270375,116.547.382,1
BRONX,OVER-THREE FAMILY HOME,3,2369,3925,Class 1,486000,92.437.785,2
BRONX,TWO-FAMILY HOME,2,2571,2520,Class 1,435000,56.955.594,1
BRONX,TWO-FAMILY HOME,2,2500,1690,Class 1,330000,92.418.607,1
BRONX,TWO-FAMILY HOME,2,2500,1619,Class 1,459000,91.804.909,1
BRONX,TWO-FAMILY HOME,2,2500,1540,Class 1,375000,9.259.121,1
BRONX,TWO-FAMILY HOME,2,2500,2178,Class 1,235000,92.536.416,1
BRONX,TWO-FAMILY HOME,2,2500,2680,Class 1,350000,97.462.443,1
BRONX,TWO-FAMILY HOME,2,2500,2310,Class 1,580000,97.119.977,1
BRONX,TWO-FAMILY HOME,2,2300,1998,Class 1,605000,52.500.799,1
BRONX,TWO-FAMILY HOME,2,2500,1219,Class 1,440000,8.718.847,1
BRONX,TWO-FAMILY HOME,2,2500,1920,Class 1,605000,91.881.621,1
BRONX,TWO-FAMILY HOME,2,2500,2018,Class 1,525000,57.572.032,1
BRONX,TWO-FAMILY HOME,2,2500,1350,Class 1,400000,6.189.532,1
BRONX,TWO-FAMILY HOME,2,5000,2095,Class 1,520000,51.851.484,1
BRONX,TWO-FAMILY HOME,2,1480,1990,Class 1,420000,67.015.868,1
BRONX,TWO-FAMILY HOME,2,2142,1375,Class 1,429000,67.035.046,1
BRONX,TWO-FAMILY HOME,2,3425,1375,Class 1,485000,6.758.847,1
BRONX,TWO-FAMILY HOME,2,2200,1738,Class 1,350000,77.248.744,1
BRONX,TWO-FAMILY HOME,2,2800,1054,Class 1,500000,62.051.484,1
BRONX,TWO-FAMILY HOME,2,2800,1054,Class 1,435000,62.051.484,1
BRONX,TWO-FAMILY HOME,2,2127,2036,Class 1,355000,82.511.758,1
BRONX,TWO-FAMILY HOME,2,2127,1710,Class 1,300000,96.961.073,1
BRONX,TWO-FAMILY HOME,2,2127,2780,Class 1,426400,86.900.799,1
BRONX,TWO-FAMILY HOME,2,1079,888,Class 1,135000,97.054.224,1
BRONX,TWO-FAMILY HOME,2,4526,2022,Class 1,495000,92.262.443,1
BRONX,TWO-FAMILY HOME,2,1076,2061,Class 1,560000,11.418.607,2
BRONX,TWO-FAMILY HOME,2,1433,2061,Class 1,550000,11.207.648,1
BRONX,TWO-FAMILY HOME,2,2100,1782,Class 1,454000,56.744.635,1
BRONX,TWO-FAMILY HOME,2,2000,2070,Class 1,500000,72.330.936,1
BRONX,TWO-FAMILY HOME,2,3325,1892,Class 1,605000,77.451.484,1
BRONX,TWO-FAMILY HOME,2,2640,2074,Class 1,430000,67.229.566,1
BRONX,TWO-FAMILY HOME,2,2175,2800,Class 1,430000,52.517.237,1
BRONX,TWO-FAMILY HOME,2,1967,2375,Class 1,415000,66.752.854,1
BRONX,TWO-FAMILY HOME,2,1967,2375,Class 1,421000,67.076.142,1
BRONX,TWO-FAMILY HOME,2,2500,1661,Class 1,315000,8.739.395,1
BRONX,TWO-FAMILY HOME,2,1820,2040,Class 1,482948,66.884.361,1
BRONX,TWO-FAMILY HOME,2,5896,1778,Class 1,500000,96.985.731,1
BRONX,TWO-FAMILY HOME,2,4000,1606,Class 1,609500,11.865.183,1
BRONX,TWO-FAMILY HOME,2,3990,2937,Class 1,590000,72.399.429,1
BRONX,TWO-FAMILY HOME,2,4023,1772,Class 1,340000,97.040.525,1
BRONX,TWO-FAMILY HOME,2,2500,1626,Class 1,330971,92.498.059,1
BRONX,TWO-FAMILY HOME,2,2500,2074,Class 1,540000,56.782.991,1
BRONX,TWO-FAMILY HOME,2,1992,1862,Class 1,520000,61.725.457,1
BRONX,TWO-FAMILY HOME,2,1992,1862,Class 1,388000,61.799.429,1
BRONX,TWO-FAMILY HOME,2,2225,1752,Class 1,517000,67.281.621,1
BRONX,TWO-FAMILY HOME,2,4184,1680,Class 1,430000,107.525.464,1
BRONX,TWO-FAMILY HOME,2,2375,2620,Class 1,530000,97.037.785,1
BRONX,TWO-FAMILY HOME,2,2375,2068,Class 1,330000,102.002.169,1
BRONX,TWO-FAMILY HOME,2,2250,2826,Class 1,615000,76.930.936,1
BRONX,TWO-FAMILY HOME,2,2000,1560,Class 1,415000,72.366.553,1
BRONX,TWO-FAMILY HOME,2,2000,1560,Class 1,356000,72.522.717,1
BRONX,TWO-FAMILY HOME,2,2500,2100,Class 1,485000,82.276.142,1
BRONX,TWO-FAMILY HOME,2,1425,1672,Class 1,550000,6.739.395,1
BRONX,TWO-FAMILY HOME,2,2200,2398,Class 1,480000,72.517.237,1
BRONX,TWO-FAMILY HOME,2,2200,2017,Class 1,480000,67.385.731,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3290,Class 1,475000,92.514.498,1
BRONX,OVER-THREE FAMILY HOME,3,2500,2168,Class 1,465000,91.802.169,1
BRONX,OVER-THREE FAMILY HOME,3,2200,3340,Class 1,565000,30.314.498,2
BRONX,OVER-THREE FAMILY HOME,3,2500,1832,Class 1,400000,82.473.402,1
BRONX,OVER-THREE FAMILY HOME,3,5000,2946,Class 1,536000,9.248.984,1
BRONX,OVER-THREE FAMILY HOME,3,2000,2468,Class 1,280000,107.267.929,1
BRONX,OVER-THREE FAMILY HOME,4,2950,3900,Class 2,650000,8.989.258,1
BRONX,OVER-THREE FAMILY HOME,4,2600,3160,Class 2,380000,92.207.648,1
BRONX,OVER-THREE FAMILY HOME,4,2600,3160,Class 2,380000,92.207.648,1
BRONX,TWO-FAMILY HOME,2,2522,1902,Class 1,471594,16.813.128,1
BRONX,TWO-FAMILY HOME,2,3987,1902,Class 1,510000,15.832.306,1
BRONX,TWO-FAMILY HOME,2,2325,1902,Class 1,580000,17.539.155,1
BRONX,TWO-FAMILY HOME,2,2237,2314,Class 1,570000,51.944.635,1
BRONX,TWO-FAMILY HOME,2,2712,3316,Class 1,544763,1.739.121,1
BRONX,TWO-FAMILY HOME,2,2968,2073,Class 1,440000,52.010.388,1
BRONX,TWO-FAMILY HOME,2,6387,1672,Class 1,565000,668.871,1
BRONX,TWO-FAMILY HOME,2,2500,1638,Class 1,300001,5.239.395,1
BRONX,TWO-FAMILY HOME,2,3000,1245,Class 1,399000,87.004.909,1
BRONX,TWO-FAMILY HOME,2,3000,2325,Class 1,280000,30.552.854,1
BRONX,TWO-FAMILY HOME,2,2417,1730,Class 1,260000,82.256.963,1
BRONX,TWO-FAMILY HOME,2,2842,2810,Class 1,351100,56.782.991,1
BRONX,TWO-FAMILY HOME,2,3893,2680,Class 1,500000,29.314.498,1
BRONX,TWO-FAMILY HOME,2,2500,1785,Class 1,400000,5.239.395,1
BRONX,TWO-FAMILY HOME,2,2250,1674,Class 1,405000,101.906.279,1
BRONX,TWO-FAMILY HOME,2,2408,1620,Class 1,360000,51.856.963,1
BRONX,TWO-FAMILY HOME,2,3058,1782,Class 1,580000,67.651.484,1
BRONX,TWO-FAMILY HOME,2,3058,1782,Class 1,319410,67.267.922,1
BRONX,TWO-FAMILY HOME,2,5150,2262,Class 1,600000,6.718.847,1
BRONX,TWO-FAMILY HOME,2,4283,1980,Class 1,362000,96.848.744,1
BRONX,TWO-FAMILY HOME,2,1607,2862,Class 1,480177,107.640.532,2
BRONX,TWO-FAMILY HOME,2,2575,1780,Class 1,535000,97.155.594,1
BRONX,TWO-FAMILY HOME,2,2575,2900,Class 1,590000,97.224.087,1
BRONX,TWO-FAMILY HOME,2,2351,1504,Class 1,515000,12.440.525,1
BRONX,TWO-FAMILY HOME,2,2575,1770,Class 1,250000,5.219.121,1
BRONX,TWO-FAMILY HOME,2,2314,2434,Class 1,440000,106.769.299,1
BRONX,TWO-FAMILY HOME,2,2338,2434,Class 1,375000,106.826.834,1
BRONX,TWO-FAMILY HOME,2,2146,2760,Class 1,550000,57.569.292,1
BRONX,TWO-FAMILY HOME,2,2559,2238,Class 1,570000,97.561.073,1
BRONX,TWO-FAMILY HOME,2,2017,2040,Class 1,525000,8.749.258,1
BRONX,TWO-FAMILY HOME,2,2733,2310,Class 1,480000,87.550.114,1
BRONX,TWO-FAMILY HOME,2,2300,1890,Class 1,527500,5.729.532,1
BRONX,TWO-FAMILY HOME,2,3090,3366,Class 1,455000,56.796.689,1
BRONX,TWO-FAMILY HOME,2,2060,2480,Class 1,510000,97.514.498,1
BRONX,TWO-FAMILY HOME,2,2575,2160,Class 1,535000,91.917.237,1
BRONX,TWO-FAMILY HOME,2,2575,2392,Class 1,600000,92.051.484,1
BRONX,TWO-FAMILY HOME,2,4878,1959,Class 1,419657,116.314.505,1
BRONX,TWO-FAMILY HOME,2,4878,1959,Class 1,419657,116.314.505,1
BRONX,TWO-FAMILY HOME,2,2034,2132,Class 1,490000,116.333.683,1
BRONX,TWO-FAMILY HOME,2,2549,2320,Class 1,500000,86.936.416,1
BRONX,TWO-FAMILY HOME,2,4129,2112,Class 1,540000,87.311.758,1
BRONX,TWO-FAMILY HOME,2,2635,2400,Class 1,425000,86.840.525,1
BRONX,OVER-THREE FAMILY HOME,3,3153,3120,Class 1,599000,52.467.922,1
BRONX,OVER-THREE FAMILY HOME,3,2167,2650,Class 1,460000,47.235.046,1
BRONX,OVER-THREE FAMILY HOME,3,2500,3060,Class 1,335000,10.766.553,1
BRONX,OVER-THREE FAMILY HOME,3,1744,2968,Class 1,425000,52.237.785,2
BRONX,OVER-THREE FAMILY HOME,3,2693,3600,Class 1,585000,86.950.114,1
BRONX,OVER-THREE FAMILY HOME,3,2588,3600,Class 1,498000,8.689.258,1
BRONX,OVER-THREE FAMILY HOME,3,2588,3600,Class 1,346500,86.802.169,1
BRONX,OVER-THREE FAMILY HOME,3,2575,3213,Class 1,560000,77.254.224,1
BRONX,OVER-THREE FAMILY HOME,3,2506,2836,Class 1,289000,87.476.142,1
BRONX,OVER-THREE FAMILY HOME,3,2673,2469,Class 1,300000,116.125.464,1
BRONX,OVER-THREE FAMILY HOME,3,2549,2710,Class 1,600000,87.185.731,1
BRONX,OVER-THREE FAMILY HOME,4,2609,3403,Class 2,650000,89.744.635,1
BRONX,OVER-THREE FAMILY HOME,4,2575,3403,Class 2,525000,89.900.799,1
BRONX,OVER-THREE FAMILY HOME,4,2549,3360,Class 2,320000,90.706.279,1
BRONX,TWO-FAMILY HOME,2,1714,1602,Class 1,419000,56.835.046,1
BRONX,TWO-FAMILY HOME,2,4000,2800,Class 1,500000,77.700.799,1
BRONX,TWO-FAMILY HOME,2,2668,1422,Class 1,450000,96.996.689,1
BRONX,TWO-FAMILY HOME,2,2550,1960,Class 1,430000,57.451.484,1
BRONX,TWO-FAMILY HOME,2,2375,1937,Class 1,575000,102.100.799,1
BRONX,TWO-FAMILY HOME,2,2338,1824,Class 1,442000,102.021.347,1
BRONX,TWO-FAMILY HOME,2,2217,1572,Class 1,520000,62.451.484,1
BRONX,TWO-FAMILY HOME,2,2113,1920,Class 1,453000,77.125.457,1
BRONX,TWO-FAMILY HOME,2,2113,1920,Class 1,453000,77.125.457,1
BRONX,TWO-FAMILY HOME,2,4160,2835,Class 1,610000,5.189.258,1
BRONX,TWO-FAMILY HOME,2,3450,1562,Class 1,490000,92.473.402,1
BRONX,TWO-FAMILY HOME,2,2392,1785,Class 1,533000,47.180.251,1
BRONX,TWO-FAMILY HOME,2,2997,2016,Class 1,210000,62.706.279,1
BRONX,TWO-FAMILY HOME,2,2916,2016,Class 1,545000,61.898.059,1
BRONX,OVER-THREE FAMILY HOME,3,2929,2800,Class 1,445000,57.298.059,1
BRONX,TWO-FAMILY HOME,2,2112,2028,Class 1,490000,11.576.108,1
BRONX,TWO-FAMILY HOME,2,2053,2208,Class 1,270000,97.500.799,1
